rank	word	total_count	paper_count
1	people	467	29
2	based	256	29
3	questions	239	29
4	time	198	29
5	work	182	26
6	passage	179	29
7	new	177	29
8	students	169	20
9	heard	151	19
10	many	147	28
11	make	132	26
12	research	131	28
13	food	131	23
14	much	122	28
15	like	114	28
16	said	114	23
17	help	113	29
18	social	112	23
19	school	104	22
20	author	100	26
21	health	99	24
22	way	98	27
23	life	98	23
24	less	97	28
25	take	96	26
26	women	96	13
27	good	95	28
28	employees	93	14
29	even	91	26
30	too	89	25
31	found	88	25
32	says	87	20
33	say	86	28
34	year	86	24
35	study	85	26
36	get	84	27
37	learn	80	28
38	world	80	21
39	skills	79	19
40	often	78	27
41	likely	78	21
42	think	77	28
43	following	75	28
44	years	75	25
45	children	75	16
46	long	73	26
47	report	73	23
48	find	73	21
49	business	72	21
50	day	71	21
51	job	70	19
52	different	69	24
53	important	68	25
54	now	67	27
55	better	67	22
56	company	67	16
57	use	66	21
58	news	66	20
59	well	65	25
60	need	65	23
61	kids	65	16
62	self	65	16
63	first	64	23
64	online	63	18
65	around	62	22
66	working	62	22
67	change	62	21
68	public	62	21
69	things	62	21
70	become	61	24
71	own	61	24
72	same	61	23
73	high	60	21
74	others	60	20
75	such	59	25
76	education	59	15
77	making	58	23
78	number	58	21
79	learning	58	17
80	still	56	21
81	something	55	24
82	future	55	18
83	men	55	11
84	part	54	22
85	doing	54	21
86	studies	54	20
87	want	53	24
88	conversation	53	20
89	stress	53	11
90	money	52	17
91	media	52	15
92	between	51	24
93	financial	51	10
94	according	50	22
95	very	50	22
96	human	50	21
97	best	50	20
98	companies	50	15
99	success	50	15
100	home	49	15
101	experience	47	20
102	healthy	47	18
103	information	47	15
104	feel	46	19
105	water	46	8
106	however	45	20
107	benefits	45	19
108	music	45	5
109	whether	44	23
110	both	44	22
111	see	44	21
112	problem	44	20
113	made	43	24
114	means	43	21
115	scientists	43	16
116	protein	43	6
117	getting	42	22
118	actually	42	21
119	used	42	21
120	example	42	19
121	researchers	42	18
122	themselves	41	23
123	going	41	21
124	using	41	21
125	come	41	20
126	eating	41	16
127	technology	41	14
128	without	40	20
129	know	40	19
130	teachers	40	13
131	americans	40	12
132	workers	40	12
133	another	39	22
134	little	39	20
135	lot	39	20
136	tend	39	15
137	foods	39	12
138	back	38	22
139	among	38	21
140	greater	38	21
141	great	38	20
142	increase	38	20
143	look	38	19
144	improve	38	18
145	today	38	17
146	off	38	16
147	family	38	13
148	control	38	11
149	keep	37	21
150	possible	37	20
151	really	37	20
152	show	37	20
153	every	37	19
154	american	37	14
155	team	37	13
156	reading	37	12
157	taking	36	18
158	understand	36	18
159	interest	36	16
160	university	36	16
161	avoid	35	18
162	ability	35	17
163	pay	35	16
164	building	35	15
165	data	35	14
166	thinking	35	14
167	traditional	35	14
168	natural	35	12
169	brain	35	9
170	design	35	7
171	fruit	35	7
172	obesity	35	7
173	teens	35	5
174	recent	34	19
175	rather	34	17
176	city	34	16
177	diet	34	15
178	young	34	15
179	animals	34	14
180	having	34	14
181	disease	34	13
182	decisions	34	10
183	participants	34	10
184	age	33	17
185	away	33	16
186	poor	33	16
187	living	33	15
188	parents	33	14
189	culture	33	13
190	schools	33	13
191	give	32	21
192	attention	32	19
193	big	32	19
194	reduce	32	19
195	times	32	19
196	local	32	18
197	end	32	15
198	longer	32	15
199	process	32	15
200	spend	32	15
201	career	32	14
202	knowledge	32	13
203	adults	32	12
204	physical	32	11
205	emotional	32	9
206	meat	32	7
207	old	31	17
208	care	31	15
209	personal	31	15
210	place	31	15
211	during	31	14
212	countries	31	10
213	far	30	20
214	quality	30	18
215	difficult	30	17
216	last	30	17
217	provide	30	17
218	lead	30	16
219	average	30	14
220	percent	30	14
221	play	30	14
222	read	30	14
223	office	30	13
224	man	30	12
225	relationships	30	11
226	training	30	11
227	science	30	10
228	saying	30	8
229	always	29	19
230	simply	29	19
231	popular	29	17
232	believe	29	16
233	person	29	16
234	problems	29	16
235	course	29	15
236	create	29	15
237	industry	29	15
238	right	29	15
239	sense	29	15
240	real	29	14
241	low	29	13
242	behavior	29	12
243	products	29	12
244	lion	29	2
245	given	28	19
246	try	28	18
247	done	28	17
248	support	28	17
249	hard	28	16
250	environment	28	15
251	helps	28	15
252	trying	28	15
253	him	28	14
254	growth	28	13
255	heart	28	13
256	risk	28	13
257	habits	28	11
258	books	28	9
259	goals	28	9
260	diets	28	7
261	fish	28	5
262	higher	27	18
263	since	27	18
264	increasing	27	17
265	ways	27	17
266	able	27	16
267	enjoy	27	16
268	class	27	15
269	few	27	15
270	book	27	14
271	lives	27	14
272	eat	27	12
273	power	27	12
274	days	27	11
275	early	27	11
276	car	27	10
277	term	27	8
278	red	27	7
279	genetic	27	5
280	ideas	26	16
281	impact	26	16
282	comes	26	14
283	open	26	14
284	positive	26	14
285	exercise	26	13
286	energy	26	12
287	performance	26	12
288	space	26	12
289	system	26	12
290	language	26	11
291	present	26	11
292	customers	26	8
293	teenagers	26	6
294	once	25	20
295	result	25	17
296	taken	25	17
297	against	25	16
298	ago	25	16
299	shows	25	16
300	effect	25	15
301	growing	25	14
302	current	25	13
303	body	25	12
304	friends	25	12
305	consumers	25	11
306	experts	25	11
307	games	25	11
308	must	25	11
309	leave	25	10
310	male	25	8
311	busy	25	5
312	juice	25	2
313	daily	24	15
314	least	24	15
315	potential	24	13
316	results	24	13
317	cost	24	12
318	decades	24	12
319	goal	24	11
320	practice	24	11
321	successful	24	10
322	tasks	24	10
323	behaviors	24	9
324	costs	24	9
325	gender	24	6
326	yes	24	6
327	interesting	24	5
328	formula	24	1
329	enough	23	15
330	though	23	15
331	access	23	14
332	america	23	13
333	society	23	13
334	terms	23	13
335	achieve	23	12
336	communication	23	11
337	student	23	11
338	mental	23	8
339	employers	23	7
340	restaurant	23	6
341	cause	22	16
342	easy	22	16
343	focus	22	15
344	never	22	15
345	almost	22	14
346	form	22	14
347	idea	22	14
348	lack	22	14
349	large	22	14
350	lower	22	14
351	someone	22	14
352	stay	22	14
353	tell	22	14
354	ask	22	13
355	effort	22	13
356	makes	22	13
357	creative	22	12
358	follow	22	12
359	paid	22	12
360	set	22	12
361	close	22	11
362	words	22	11
363	college	22	9
364	labor	22	9
365	national	22	8
366	classes	22	7
