序号,重点词汇,中文义项,常见词形,备考建议,总出现次数,覆盖真题套数
1,study,学习；研究；学,"study, studied, studies, studying",优先掌握,151,28
2,learn,学习；学；学会,"learn, learned, learning, learns",优先掌握,148,28
3,research,研究；研；科研,"research, researching",优先掌握,134,28
4,company,公司；企业；厂商,"company, companies",优先掌握,117,20
5,social,社会的；群居；社交的,social,优先掌握,112,23
6,employee,员工；雇员；雇工,"employee, employees",重点熟悉,104,15
7,health,健康；卫生；身体,health,重点熟悉,99,24
8,skill,技能；技术；技巧,"skill, skills",重点熟悉,93,21
9,increase,增加；提高；增长,"increase, increased, increases, increasing",重点熟悉,87,27
10,job,工作；岗位；业,"job, jobs",重点熟悉,87,20
11,interest,兴趣；利益；利息,"interest, interested, interesting, interests",重点熟悉,86,22
12,number,数字；数；编号,"number, numbers",重点熟悉,79,21
13,likely,可能；容易；或许,likely,重点熟悉,78,21
14,american,美国人；美洲人；美国的,"american, americans",重点熟悉,77,19
15,business,商业；业务；商,business,重点熟悉,72,21
16,eat,吃；吃饭；食,"eat, eating, eats",重点熟悉,69,19
17,important,重要的；重要；重大,important,重点熟悉,68,25
18,look,看；注意；注视,"look, looked, looking, looks",重点熟悉,68,25
19,read,读；阅读；读书,"read, reading, reads",重点熟悉,68,19
20,come,来；来到；过来,"come, comes",重点熟悉,67,24
21,human,人类；人道；人的,"human, humans",重点熟悉,65,22
22,benefit,益处；效益；利益,"benefit, benefited, benefits",重点熟悉,64,25
23,online,在线的；线上,online,重点熟悉,63,18
24,public,民众；公共；公众,public,重点熟悉,62,21
25,diet,饮食；国会；营养,"diet, diets",重点熟悉,62,15
26,experience,经验；经历；阅历,"experience, experiences",重点熟悉,61,22
27,high,高的；高；高昂,high,重点熟悉,60,21
28,education,教育；教学；文化,education,重点熟悉,59,15
29,try,尝试；试；试图,"try, tries, trying",重点熟悉,58,25
30,ask,问；要求；询问,"ask, asked, asking, asks",重点熟悉,58,23
31,result,结果；成果；效果,"result, resulted, resulting, results",重点熟悉,57,25
32,play,玩；游戏；戏,"play, played, playing, plays",重点熟悉,57,20
33,pay,支付；工资；报酬,"pay, paying, pays",重点熟悉,56,19
34,cause,原因；事业；起因,"cause, caused, causes, causing",重点熟悉,55,25
35,future,未来；将来；前途,future,重点熟悉,55,18
36,decision,决定；决断；定案,"decision, decisions",重点熟悉,55,16
37,behavior,行为；特性；表现,"behavior, behaviors",重点熟悉,53,15
38,design,设计；计划；酝,"design, designed, designing, designs",重点熟悉,53,13
39,brain,脑；大脑；头脑,"brain, brains",重点熟悉,53,11
40,stress,压力；强调；讲,stress,重点熟悉,53,11
41,money,钱；货币；金钱,money,重点熟悉,52,17
42,media,媒体；介质；传播媒介,media,重点熟悉,52,15
43,goal,目标；目的；球门,"goal, goals",重点熟悉,52,12
44,build,建造；建立；建设,"build, building",重点熟悉,51,21
45,suggest,建议；暗示；提议,"suggest, suggested, suggesting, suggests",重点熟悉,51,21
46,disease,疾病；病；症,"disease, diseases",重点熟悉,51,16
47,technology,技术；工艺学,"technology, technologies",重点熟悉,51,15
48,financial,金融的；金融；财政,financial,重点熟悉,51,10
49,understand,理解；了解；明白,"understand, understanding",重点熟悉,50,21
50,term,学期；术语；项,"term, terms",重点熟悉,50,18
51,success,成功；成就；顺利,success,重点熟悉,50,15
52,lead,带领；铅；引线,"lead, leading, leads",重点熟悉,49,20
53,tend,趋向；易于；趋,"tend, tended, tending, tends",重点熟悉,49,19
54,animal,动物；兽；动物的,"animal, animals",重点熟悉,49,16
55,start,开始；启动；起动,"start, started, starting, starts",重点熟悉,48,24
56,idea,主意；理念；思想,"idea, ideas",重点熟悉,48,22
57,researcher,研究员；研究者；学者,"researcher, researchers",重点熟悉,48,19
58,cost,成本；花费；费,"cost, costs",重点熟悉,48,15
59,family,家庭；家族；家人,"family, families",重点熟悉,48,15
60,teacher,老师；教师；师,"teacher, teachers",重点熟悉,48,14
61,keep,保持；保留；保,"keep, keeping, keeps",重点熟悉,47,23
62,healthy,健康；健；康健,healthy,重点熟悉,47,18
63,information,信息；情报；消息,information,重点熟悉,47,15
64,water,水；雨水；泽,"water, waters",重点熟悉,47,9
65,consider,考虑；认为；研究,"consider, considered, considering, considers",重点熟悉,46,24
66,enjoy,享受；享有；欣赏,"enjoy, enjoyed, enjoying, enjoys",重点熟悉,45,21
67,example,例子；例；范例,"example, examples",重点熟悉,45,20
68,however,然而；但是；但,however,重点熟悉,45,20
69,risk,风险；冒险；冒,"risk, risks",重点熟悉,45,18
70,effect,影响；效果；作用,"effect, effects",重点熟悉,45,17
71,relationship,关系；关联；伦,"relationship, relationships",重点熟悉,45,17
72,scientist,科学家,"scientist, scientists",重点熟悉,45,16
73,team,团队；球队；队,"team, teams",重点熟悉,45,16
74,worker,工人；工；职工,"worker, workers",重点熟悉,45,14
75,protein,蛋白质；蛋白；朊,"protein, proteins",重点熟悉,45,6
76,music,音乐；乐；谱,music,重点熟悉,45,5
77,develop,发展；开发；研制,"develop, developed, developing",重点熟悉,44,20
78,spend,花费；花；耗费,"spend, spending, spends",重点熟悉,44,18
79,place,地方；地点；位置,"place, places",重点熟悉,44,17
80,habit,习惯；习；嗜好,"habit, habits",重点熟悉,44,16
81,culture,文化；培养；文,"culture, cultures",重点熟悉,44,15
82,task,任务；工作；课题,"task, tasks",重点熟悉,44,14
83,end,结尾；结束；端,"end, ended, ending, ends",重点熟悉,43,21
84,city,城市；市；城,"city, cities",重点熟悉,43,16
85,product,产品；产物；制品,"product, products",重点熟悉,43,16
