序号,重点词汇,总出现次数,覆盖真题套数,常见词形,备考建议
1,study,151,28,"study, studied, studies, studying",优先掌握
2,learn,148,28,"learn, learned, learning, learns",优先掌握
3,research,134,28,"research, researching",优先掌握
4,company,117,20,"company, companies",优先掌握
5,social,112,23,social,优先掌握
6,employee,104,15,"employee, employees",重点熟悉
7,health,99,24,health,重点熟悉
8,skill,93,21,"skill, skills",重点熟悉
9,increase,87,27,"increase, increased, increases, increasing",重点熟悉
10,job,87,20,"job, jobs",重点熟悉
11,interest,86,22,"interest, interested, interesting, interests",重点熟悉
12,number,79,21,"number, numbers",重点熟悉
13,likely,78,21,likely,重点熟悉
14,american,77,19,"american, americans",重点熟悉
15,business,72,21,business,重点熟悉
16,eat,69,19,"eat, eating, eats",重点熟悉
17,important,68,25,important,重点熟悉
18,look,68,25,"look, looked, looking, looks",重点熟悉
19,read,68,19,"read, reading, reads",重点熟悉
20,come,67,24,"come, comes",重点熟悉
21,human,65,22,"human, humans",重点熟悉
22,benefit,64,25,"benefit, benefited, benefits",重点熟悉
23,online,63,18,online,重点熟悉
24,public,62,21,public,重点熟悉
25,diet,62,15,"diet, diets",重点熟悉
26,experience,61,22,"experience, experiences",重点熟悉
27,high,60,21,high,重点熟悉
28,education,59,15,education,重点熟悉
29,try,58,25,"try, tries, trying",重点熟悉
30,ask,58,23,"ask, asked, asking, asks",重点熟悉
31,result,57,25,"result, resulted, resulting, results",重点熟悉
32,play,57,20,"play, played, playing, plays",重点熟悉
33,pay,56,19,"pay, paying, pays",重点熟悉
34,cause,55,25,"cause, caused, causes, causing",重点熟悉
35,future,55,18,future,重点熟悉
36,decision,55,16,"decision, decisions",重点熟悉
37,behavior,53,15,"behavior, behaviors",重点熟悉
38,design,53,13,"design, designed, designing, designs",重点熟悉
39,brain,53,11,"brain, brains",重点熟悉
40,stress,53,11,stress,重点熟悉
41,money,52,17,money,重点熟悉
42,media,52,15,media,重点熟悉
43,goal,52,12,"goal, goals",重点熟悉
44,build,51,21,"build, building",重点熟悉
45,suggest,51,21,"suggest, suggested, suggesting, suggests",重点熟悉
46,disease,51,16,"disease, diseases",重点熟悉
47,technology,51,15,"technology, technologies",重点熟悉
48,financial,51,10,financial,重点熟悉
49,understand,50,21,"understand, understanding",重点熟悉
50,term,50,18,"term, terms",重点熟悉
51,success,50,15,success,重点熟悉
52,lead,49,20,"lead, leading, leads",重点熟悉
53,tend,49,19,"tend, tended, tending, tends",重点熟悉
54,animal,49,16,"animal, animals",重点熟悉
55,start,48,24,"start, started, starting, starts",重点熟悉
56,idea,48,22,"idea, ideas",重点熟悉
57,researcher,48,19,"researcher, researchers",重点熟悉
58,cost,48,15,"cost, costs",重点熟悉
59,family,48,15,"family, families",重点熟悉
60,teacher,48,14,"teacher, teachers",重点熟悉
