序号,单词,总出现次数,覆盖真题套数,学习优先级
1,people,467,29,核心高频
2,based,256,29,核心高频
3,questions,239,29,核心高频
4,time,198,29,核心高频
5,work,182,26,核心高频
6,passage,179,29,核心高频
7,new,177,29,核心高频
8,students,169,20,核心高频
9,heard,151,19,高频
10,many,147,28,核心高频
11,make,132,26,核心高频
12,research,131,28,核心高频
13,food,131,23,核心高频
14,much,122,28,核心高频
15,like,114,28,核心高频
16,said,114,23,核心高频
17,help,113,29,核心高频
18,social,112,23,核心高频
19,school,104,22,核心高频
20,author,100,26,核心高频
21,health,99,24,高频
22,way,98,27,高频
23,life,98,23,高频
24,less,97,28,高频
25,take,96,26,高频
26,women,96,13,高频
27,good,95,28,高频
28,employees,93,14,高频
29,even,91,26,高频
30,too,89,25,高频
31,found,88,25,高频
32,says,87,20,高频
33,say,86,28,高频
34,year,86,24,高频
35,study,85,26,高频
36,get,84,27,高频
37,learn,80,28,高频
38,world,80,21,高频
39,skills,79,19,高频
40,often,78,27,高频
41,likely,78,21,高频
42,think,77,28,高频
43,following,75,28,高频
44,years,75,25,高频
45,children,75,16,高频
46,long,73,26,高频
47,report,73,23,高频
48,find,73,21,高频
49,business,72,21,高频
50,day,71,21,高频
51,job,70,19,高频
52,different,69,24,高频
53,important,68,25,高频
54,now,67,27,高频
55,better,67,22,高频
56,company,67,16,高频
57,use,66,21,高频
58,news,66,20,高频
59,well,65,25,高频
60,need,65,23,高频
61,kids,65,16,高频
62,self,65,16,高频
63,first,64,23,高频
64,online,63,18,高频
65,around,62,22,高频
66,working,62,22,高频
67,change,62,21,高频
68,public,62,21,高频
69,things,62,21,高频
70,become,61,24,高频
71,own,61,24,高频
72,same,61,23,高频
73,high,60,21,高频
74,others,60,20,高频
75,such,59,25,高频
76,education,59,15,高频
77,making,58,23,高频
78,number,58,21,高频
79,learning,58,17,高频
80,still,56,21,高频
81,something,55,24,高频
82,future,55,18,高频
83,men,55,11,高频
84,part,54,22,高频
85,doing,54,21,高频
86,studies,54,20,高频
87,want,53,24,高频
88,conversation,53,20,高频
89,stress,53,11,高频
90,money,52,17,高频
91,media,52,15,高频
92,between,51,24,高频
93,financial,51,10,高频
94,according,50,22,高频
95,very,50,22,高频
96,human,50,21,高频
97,best,50,20,高频
98,companies,50,15,高频
99,success,50,15,高频
100,home,49,15,高频
101,experience,47,20,高频
102,healthy,47,18,高频
103,information,47,15,高频
104,feel,46,19,高频
105,water,46,8,高频
106,however,45,20,高频
107,benefits,45,19,高频
108,music,45,5,高频
109,whether,44,23,高频
110,both,44,22,高频
111,see,44,21,高频
112,problem,44,20,高频
113,made,43,24,高频
114,means,43,21,高频
115,scientists,43,16,高频
116,protein,43,6,高频
117,getting,42,22,高频
118,actually,42,21,高频
119,used,42,21,高频
120,example,42,19,高频
121,researchers,42,18,高频
122,themselves,41,23,高频
123,going,41,21,高频
124,using,41,21,高频
125,come,41,20,高频
126,eating,41,16,高频
127,technology,41,14,高频
128,without,40,20,高频
129,know,40,19,高频
130,teachers,40,13,高频
131,americans,40,12,高频
132,workers,40,12,高频
133,another,39,22,高频
134,little,39,20,高频
135,lot,39,20,高频
136,tend,39,15,高频
137,foods,39,12,高频
138,back,38,22,高频
139,among,38,21,高频
140,greater,38,21,高频
141,great,38,20,高频
142,increase,38,20,高频
143,look,38,19,高频
144,improve,38,18,高频
145,today,38,17,高频
146,off,38,16,高频
147,family,38,13,高频
148,control,38,11,高频
149,keep,37,21,高频
150,possible,37,20,高频
151,really,37,20,高频
152,show,37,20,高频
153,every,37,19,高频
154,american,37,14,高频
155,team,37,13,高频
156,reading,37,12,高频
157,taking,36,18,高频
158,understand,36,18,高频
159,interest,36,16,高频
160,university,36,16,高频
161,avoid,35,18,高频
162,ability,35,17,高频
163,pay,35,16,高频
164,building,35,15,高频
165,data,35,14,高频
166,thinking,35,14,高频
167,traditional,35,14,高频
168,natural,35,12,高频
169,brain,35,9,值得掌握
170,design,35,7,值得掌握
171,fruit,35,7,值得掌握
172,obesity,35,7,值得掌握
173,teens,35,5,值得掌握
174,recent,34,19,高频
175,rather,34,17,高频
176,city,34,16,高频
177,diet,34,15,高频
178,young,34,15,高频
179,animals,34,14,高频
180,having,34,14,高频
181,disease,34,13,高频
182,decisions,34,10,高频
183,participants,34,10,高频
184,age,33,17,高频
185,away,33,16,高频
186,poor,33,16,高频
187,living,33,15,高频
188,parents,33,14,高频
189,culture,33,13,高频
190,schools,33,13,高频
191,give,32,21,高频
192,attention,32,19,高频
193,big,32,19,高频
194,reduce,32,19,高频
195,times,32,19,高频
196,local,32,18,高频
197,end,32,15,高频
198,longer,32,15,高频
199,process,32,15,高频
200,spend,32,15,高频
201,career,32,14,高频
202,knowledge,32,13,高频
203,adults,32,12,高频
204,physical,32,11,高频
205,emotional,32,9,值得掌握
206,meat,32,7,值得掌握
207,old,31,17,高频
208,care,31,15,高频
209,personal,31,15,高频
210,place,31,15,高频
211,during,31,14,高频
212,countries,31,10,高频
213,far,30,20,高频
214,quality,30,18,高频
215,difficult,30,17,高频
216,last,30,17,高频
217,provide,30,17,高频
218,lead,30,16,高频
219,average,30,14,高频
220,percent,30,14,高频
221,play,30,14,高频
222,read,30,14,高频
223,office,30,13,高频
224,man,30,12,高频
225,relationships,30,11,高频
226,training,30,11,高频
227,science,30,10,高频
228,saying,30,8,值得掌握
229,always,29,19,高频
230,simply,29,19,高频
231,popular,29,17,高频
232,believe,29,16,高频
233,person,29,16,高频
234,problems,29,16,高频
235,course,29,15,高频
236,create,29,15,高频
237,industry,29,15,高频
238,right,29,15,高频
239,sense,29,15,高频
240,real,29,14,高频
241,low,29,13,高频
242,behavior,29,12,高频
243,products,29,12,高频
244,lion,29,2,值得掌握
245,given,28,19,高频
246,try,28,18,高频
247,done,28,17,高频
248,support,28,17,高频
249,hard,28,16,高频
250,environment,28,15,高频
251,helps,28,15,高频
252,trying,28,15,高频
253,him,28,14,高频
254,growth,28,13,高频
255,heart,28,13,高频
256,risk,28,13,高频
257,habits,28,11,高频
258,books,28,9,值得掌握
259,goals,28,9,值得掌握
260,diets,28,7,值得掌握
261,fish,28,5,值得掌握
262,higher,27,18,高频
263,since,27,18,高频
264,increasing,27,17,高频
265,ways,27,17,高频
266,able,27,16,高频
267,enjoy,27,16,高频
268,class,27,15,高频
269,few,27,15,高频
270,book,27,14,高频
271,lives,27,14,高频
272,eat,27,12,高频
273,power,27,12,高频
274,days,27,11,高频
275,early,27,11,高频
276,car,27,10,高频
277,term,27,8,值得掌握
278,red,27,7,值得掌握
279,genetic,27,5,值得掌握
280,ideas,26,16,高频
281,impact,26,16,高频
282,comes,26,14,高频
283,open,26,14,高频
284,positive,26,14,高频
285,exercise,26,13,高频
286,energy,26,12,高频
287,performance,26,12,高频
288,space,26,12,高频
289,system,26,12,高频
290,language,26,11,高频
291,present,26,11,高频
292,customers,26,8,值得掌握
293,teenagers,26,6,值得掌握
294,once,25,20,高频
295,result,25,17,高频
296,taken,25,17,高频
297,against,25,16,高频
298,ago,25,16,高频
299,shows,25,16,高频
300,effect,25,15,高频
301,growing,25,14,高频
302,current,25,13,高频
303,body,25,12,高频
304,friends,25,12,高频
305,consumers,25,11,高频
306,experts,25,11,高频
307,games,25,11,高频
308,must,25,11,高频
309,leave,25,10,高频
310,male,25,8,值得掌握
311,busy,25,5,值得掌握
312,juice,25,2,值得掌握
313,daily,24,15,高频
314,least,24,15,高频
315,potential,24,13,高频
316,results,24,13,高频
317,cost,24,12,高频
318,decades,24,12,高频
319,goal,24,11,高频
320,practice,24,11,高频
321,successful,24,10,高频
322,tasks,24,10,高频
323,behaviors,24,9,值得掌握
324,costs,24,9,值得掌握
325,gender,24,6,值得掌握
